Food,Calories,Utility,Carbohydrate,Fat,Protein,Category
Aam ras(1 cup)+Puri(3),1074,60,225,15.3,12,Veg
Alfredo Pasta,855,90,61.5,64.5,24,Veg
Batata poha(200gms),297,50,37.5,7.5,4.5,Veg
bhajra rotla + baingan bharta(132gm),378,80,40.35,19.2,6.3,Veg
Biryani,244.5,50,19.95,11.55,14.25,Veg
Bisi bele bath - 1 cup,450,40,63,18,13.5,Veg
Burrito,450,30,39,24,18,Veg
Cereal,285,100,115.5,18,16.5,Veg
chickpea curry(1 bowl),966,50,144,24,42,Veg
"chickpea, zuchini and mushroom stew",538.5,40,82.5,14.25,25.8,Veg
Chole Kulcha,469.5,40,3,28.5,48,Veg
dal makhani and jeera rice,502.5,40,53.4,20.4,10.95,Veg
Fish and Chips,1387.5,90,48,88.5,12,Non-Veg
French Toast with Butter,396,100,63,70.5,16.5,Veg
Fried Carrot Cake,877.5,20,66,70.5,13.5,Veg
Fried Hokkien Noodles,925.5,80,63,66,21,Non-Veg
Grilled veggie sandwhich(2 bread and 100g veggies),592.5,50,70.5,27,16.5,Veg
Ham Sandwich,547.5,40,60,40.5,49.5,Non-Veg
idli (1pc)+ sambhar(1 bowl),513,20,102.15,15.3,21,Veg
jalebi (1pc) +fafda(50gms),438,20,76.5,5.55,17.7,Veg
Kheer 1 cup,423,70,71.4,10.2,12,Veg
khichdi(100gm)+kadhi(1cup),384,60,79.35,27,24.15,Veg
Mac and Cheese With Brocolli,439.5,60,43.95,21,18,Veg
Macaroni Chicken Soup,298.5,80,96,7.5,46.5,Non-Veg
moong daal chilla(4 pancake),600,70,60,22.2,38.4,Veg
Mutton Korma + 2 roti,1047,70,72,56.55,61.5,Veg
nachos with cheese,519,70,54.45,28.5,13.65,Veg
paneer bhurji (1 cup) + paratha (2pc),1474.5,80,136.65,86.25,46.2,Veg
pani puri(20 pcs),600,80,117,24,12,Veg
Pav Bhaji(1 plate+1/2 pav),300,70,70.5,18,10.5,Veg
Peanut Soup,382.5,70,52.5,76.5,21,Veg
Poha 1 bowl,495,50,103.35,9,10.2,Veg
ragda pattice (1 cup white peas + 1/8 cup tamarind (imli) + small potato),555,50,75,19.5,12,Veg
rajma and jeera rice,960,90,133.5,37.5,21,Veg
Rice+Dal Fry,1156.5,40,156,31.5,48,Veg
Roti(3)+Aloo gobi sabji(1 bowl),721.5,70,105,33,13.5,Veg
Roti(3)+Paneer Tikka Masala(1 bowl),840,10,93.75,40.5,25.5,Veg
Sabudana Khichdi + Dahi,444,10,61.5,17.55,12.6,Veg
"sabudana vadaShallow Fried, 1 piece (about 35 - 40g)",210,100,38.1,5.25,3.45,Veg
sarso da saag and makki ki roti,480,50,66,24.6,12,Veg
Sev puri+1 thumps up,546,60,144,0,0,Veg
Soya Sauce Chicken Rice,826.5,70,64.5,58.5,27,Non-Veg
talod dhokla(110g) + aamras(1 cup),784.5,30,175.5,2.7,26.1,Veg
Thepla(3)+Sukha Aloo(1 bowl)+Chaas,678,20,85.5,38.4,19.2,Veg
undhiya(1cup) + puri(1pc),541.5,40,50.55,20.25,8.55,Veg
upma(120gms),375,30,68.55,5.7,12.15,Veg
vada pav (2pc),900,30,165,27,9,Veg
Waffles with Kaya,600,40,75,63,12,Non-Veg
Masala Dosa With Sambhar & Chutney,435,50,67.5,14.25,12,Veg
Idli Sambhar With Chutney - 2 pieces,825,90,58.5,3.75,10.5,Veg
Muthiya -  1 cup,315,40,60,4.35,13.5,Veg
Undhiyu + 3 Rotis,831,30,110.85,31.8,18,Veg
Nylon Khaman - 100g,529.5,20,99,6.3,19.5,Veg
Butter Chicken - 1 bowl,745.5,10,60,36,64.5,Non-Veg
Chicken Tikka Masala - 1 bowl,600,50,48,37.5,39,Non-Veg
Mughlai Chicken - 1 bowl,439.5,90,19.5,27,30.3,Non-Veg
4 Momos,459,100,50.85,18,15,Veg
Dal Bati Churma - 200g,960,90,90,15,12,Veg
Chicken Vindaloo - 1 portion,931.5,80,108,31.5,48,Non-Veg
omelette ,304.5,100,6,30,19.5,Non-Veg
Breakfast Biscuits - Oats and Milk,324,70,50.25,11.7,6.6,Veg
Banana Bread,339,40,54,12,6,Veg
"Muesli With Oats, Dates & Berries",717,70,69,34.5,25.5,Veg
Bread Upma,649.5,30,87,25.5,16.5,Veg
Humus + pita bread,450,50,102,37.5,30,Veg
Mughal mutton curry ,825,30,105,45,42,Non-Veg
Tunda Kebab,720,20,112.5,82.5,45,Non-Veg
Grilled Chicken Escalope with fresh salsa,540,10,45,33,37.5,Non-Veg
Chicken 65,495,60,30,15,30,Non-Veg
Roti Prata with Egg (2 pieces),864,50,0.585,0.66,0.255,Non-Veg
